Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2015,IND,16,2015-07-21,0,SAS,L,62,80,21,62,.339,3,8,.375,17,22,.773,5,18,13,10,2,10,22,27,45,.600,5,10,.500,21,25,.840,5,34,18,6,2,20,19
2015,IND,17,2015-07-28,0,CON,W,75,73,33,81,.407,2,16,.125,7,9,.778,13,35,14,13,3,13,17,28,65,.431,5,20,.250,12,14,.857,7,31,19,7,7,18,17
2015,IND,18,2015-07-29,1,NYL,W,84,72,30,63,.476,6,19,.316,18,22,.818,10,32,16,10,5,15,18,28,58,.483,2,9,.222,14,18,.778,7,27,13,8,6,21,23
2015,IND,19,2015-08-02,1,CON,W,83,70,25,59,.424,5,12,.417,28,30,.933,14,37,17,7,1,13,21,25,55,.455,3,12,.250,17,27,.630,3,20,12,9,4,12,28
2015,IND,20,2015-08-04,0,CHI,L,82,106,26,75,.347,10,20,.500,20,25,.800,12,29,19,9,1,13,17,43,68,.632,5,10,.500,15,20,.750,7,39,28,10,13,14,23
2015,IND,21,2015-08-07,1,ATL,W,106,77,31,68,.456,4,14,.286,40,44,.909,10,33,16,14,5,10,23,24,61,.393,7,15,.467,22,26,.846,10,32,12,6,8,26,30
2015,IND,22,2015-08-11,0,WAS,W,73,62,30,70,.429,2,7,.286,11,12,.917,12,37,18,10,2,10,19,25,57,.439,6,14,.429,6,10,.600,4,26,14,4,8,14,17
2015,IND,23,2015-08-16,0,PHO,W,75,63,31,70,.443,3,15,.200,10,10,1.000,11,37,19,6,4,10,20,23,60,.383,0,13,.000,17,19,.895,7,33,14,3,4,10,12
2015,IND,24,2015-08-18,0,LAS,W,79,68,25,68,.368,10,19,.526,19,22,.864,19,41,13,9,0,16,17,26,57,.456,1,13,.077,15,18,.833,6,29,18,12,7,17,21
2015,IND,25,2015-08-21,0,SEA,W,75,63,27,65,.415,5,17,.294,16,19,.842,9,27,17,13,2,8,17,25,54,.463,4,12,.333,9,15,.600,3,28,12,3,4,19,19
2015,IND,26,2015-08-23,1,NYL,W,80,79,27,56,.482,7,15,.467,19,24,.792,7,32,17,2,1,14,17,32,68,.471,2,8,.250,13,18,.722,10,32,19,8,5,10,21
2015,IND,27,2015-08-26,1,LAS,L,79,81,30,63,.476,5,16,.313,14,19,.737,9,32,16,7,1,15,21,28,63,.444,8,21,.381,17,24,.708,9,30,20,10,3,9,19
2015,IND,28,2015-08-28,1,ATL,L,84,90,27,59,.458,7,17,.412,23,25,.920,5,24,10,9,1,18,31,28,63,.444,3,14,.214,31,36,.861,9,30,9,11,2,14,28
2015,IND,29,2015-08-30,0,TUL,L,70,76,27,70,.386,5,9,.556,11,14,.786,10,34,12,8,6,15,22,26,58,.448,7,17,.412,17,19,.895,2,27,14,3,6,14,22
