Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,win_margin,Tm_poss,Opp_poss,Tm_off_rating,Tm_def_rating,Tm_tov_rate,Opp_tov_rate
2025,LAS,12,2025-06-14,0,MIN,L,78,101,24,58,0.414,8,15,0.533,22,28,0.786,12,36,14,3,1,20,14,41,72,0.569,12,29,0.414,7,10,0.7,6,27,30,9,10,9,23,-23,78.32,79.4,99.59141981613892,127.20403022670024,0.25536261491317674,1.0
2025,LAS,13,2025-06-17,1,SEA,L,67,98,21,64,0.328,6,22,0.273,19,23,0.826,13,42,14,7,4,22,12,39,75,0.52,13,30,0.433,7,10,0.7,3,27,29,15,7,10,22,-31,83.12,86.4,80.60635226179018,113.42592592592591,0.2646775745909528,1.0
2025,MIN,1,2025-05-16,0,DAL,W,99,84,35,66,0.53,7,20,0.35,22,28,0.786,6,31,27,5,0,13,21,30,66,0.455,5,14,0.357,19,24,0.792,8,33,15,8,2,14,21,15,85.32,82.56,116.03375527426161,101.74418604651163,0.1523675574308486,1.0
2025,MIN,2,2025-05-18,0,LAS,W,89,75,34,71,0.479,10,25,0.4,11,13,0.846,7,34,27,7,3,8,21,24,60,0.4,9,26,0.346,18,24,0.75,8,29,15,4,3,11,19,14,77.72,73.56,114.51363870303655,101.95758564437195,0.1029336078229542,1.0
2025,MIN,3,2025-05-21,1,DAL,W,85,81,28,59,0.475,9,25,0.36,20,27,0.741,12,43,27,4,3,17,15,29,71,0.408,12,33,0.364,11,14,0.786,9,27,20,9,1,11,22,4,75.88,79.16,112.01897733263047,102.3244062657908,0.22403795466526094,1.0
2025,MIN,4,2025-05-23,1,CON,W,76,70,25,64,0.391,7,24,0.292,19,26,0.731,9,31,21,13,6,15,18,27,66,0.409,10,30,0.333,6,6,1.0,10,40,22,5,4,21,22,6,81.44,79.64,93.32023575638507,87.89552988448015,0.18418467583497053,1.0
2025,MIN,5,2025-05-27,1,SEA,W,82,77,32,68,0.471,7,19,0.368,11,12,0.917,8,30,18,11,5,11,16,29,67,0.433,6,24,0.25,13,18,0.722,10,34,20,8,3,14,14,5,76.28,78.92,107.49868904037756,97.56715661429295,0.14420555846879915,1.0
2025,MIN,6,2025-05-30,0,PHO,W,74,71,25,69,0.362,8,29,0.276,16,18,0.889,9,35,18,5,6,15,14,28,71,0.394,3,26,0.115,12,14,0.857,11,38,21,8,4,14,19,3,82.92,80.16,89.24264351181861,88.57285429141717,0.1808972503617945,1.0
2025,MIN,7,2025-06-01,0,GSV,W,86,75,30,66,0.455,11,26,0.423,15,20,0.75,10,36,22,10,3,12,18,24,65,0.369,9,34,0.265,18,22,0.818,10,37,15,9,4,14,19,11,76.8,78.68,111.97916666666667,95.3228266395526,0.15625,1.0
2025,MIN,8,2025-06-03,1,PHO,W,88,65,34,58,0.586,12,25,0.48,8,9,0.889,3,37,29,6,4,23,13,28,73,0.384,5,30,0.167,4,5,0.8,6,24,13,11,3,10,10,23,81.96000000000001,79.2,107.36944851146899,82.07070707070707,0.2806246949731576,1.0
2025,MIN,9,2025-06-08,0,DAL,W,81,65,29,67,0.433,13,31,0.419,10,14,0.714,8,37,25,12,11,6,18,19,65,0.292,8,24,0.333,19,23,0.826,13,41,14,3,3,15,16,16,71.16,77.12,113.82799325463743,84.28423236514523,0.08431703204047218,1.0
2025,MIN,10,2025-06-11,0,SEA,L,84,94,31,64,0.484,12,26,0.462,10,11,0.909,5,26,25,5,4,12,17,39,69,0.565,7,18,0.389,9,15,0.6,8,34,30,9,3,10,14,-10,75.84,77.6,110.75949367088607,121.13402061855672,0.1582278481012658,1.0
2025,MIN,11,2025-06-14,1,LAS,W,101,78,41,72,0.569,12,29,0.414,7,10,0.7,6,27,30,9,10,9,23,24,58,0.414,8,15,0.533,22,28,0.786,12,36,14,3,1,20,14,23,79.4,78.32,127.20403022670024,99.59141981613892,0.11335012594458438,1.0
2025,MIN,12,2025-06-17,1,LVA,W,76,62,29,76,0.382,5,23,0.217,13,17,0.765,14,40,20,8,4,8,12,23,64,0.359,9,24,0.375,7,9,0.778,8,34,18,4,4,17,21,14,77.48,76.96,98.08982963345379,80.56133056133056,0.10325245224574083,1.0
2025,NYL,1,2025-05-17,1,LVA,W,92,78,35,72,0.486,4,21,0.19,18,21,0.857,6,43,27,7,7,6,16,28,82,0.341,11,32,0.344,11,13,0.846,12,41,18,4,2,10,20,14,81.24,85.72,113.24470704086657,90.99393373775082,0.07385524372230429,1.0
2025,NYL,2,2025-05-22,0,CHI,W,99,74,32,58,0.552,19,34,0.559,16,17,0.941,3,28,25,12,9,19,19,25,69,0.362,11,27,0.407,13,25,0.52,15,36,16,9,1,23,18,25,81.48,88.0,121.5022091310751,84.0909090909091,0.23318605792832595,1.0
2025,NYL,3,2025-05-24,0,IND,W,90,88,29,63,0.46,7,27,0.259,25,32,0.781,7,34,19,7,5,12,17,35,78,0.449,7,23,0.304,11,15,0.733,12,39,20,6,1,16,25,2,82.08,88.6,109.64912280701755,99.32279909706547,0.14619883040935672,1.0
2025,NYL,4,2025-05-27,1,GSV,W,95,67,37,74,0.5,14,35,0.4,7,13,0.538,9,37,30,14,3,13,18,21,62,0.339,11,31,0.355,14,19,0.737,7,34,16,10,4,20,15,28,83.72,83.36,113.47348303870044,80.3742802303263,0.15527950310559008,1.0
2025,NYL,5,2025-05-29,1,GSV,W,82,77,23,61,0.377,13,36,0.361,23,27,0.852,8,36,17,7,5,13,20,29,72,0.403,10,34,0.294,9,14,0.643,15,41,25,3,1,13,24,5,77.88,76.16,105.29019003595275,101.10294117647058,0.16692347200821778,1.0
2025,NYL,6,2025-05-30,0,WAS,W,85,63,29,68,0.426,10,38,0.263,17,20,0.85,9,46,23,6,8,11,15,21,74,0.284,4,16,0.25,17,18,0.944,8,36,13,8,1,10,14,22,78.8,83.92,107.86802030456852,75.07149666348903,0.13959390862944163,1.0
